Market,Amount,Last_Transaction_Date,Investment_Count
Used Goods Marketplace,423225136,2016-07-23,14
Marketplace,21517113711,2016-07-23,98
Healthcare Tech,3526161580,2016-09-16,127
HR Tech,2095630,2016-10-01,2
Skill development,2095630,2016-10-01,2
Online Hypermarket,109672354043,2016-10-03,121
Coworking,539838101,2016-10-28,14
Online Grocery,13085351803,2016-11-05,139
K12 Learning,6705605708,2016-11-21,34
Hyperlocal,2598330932,2016-11-30,36
Sales Tech,287698360,2016-12-10,2
Hotel Aggregation,11750375703,2016-12-15,52
Online Lingerie,66819311,2016-12-19,42
aggregrator,528546703,2017-01-21,49
Parenting,174406513,2017-01-30,109
B2B e-commerce,270860555,2017-02-03,41
Lending,113773956,2017-02-08,13
Patient Monitoring,16557691,2017-02-09,9
Big Data Analysis,65395558,2017-03-28,15
Financial Services,5388747156,2017-03-29,91
On-demand Logistics,167133159,2017-03-30,75
Online truck aggregation,50299670,2017-03-30,69
Receipe Box,257891312,2017-03-30,43
B2B Logistics,44016120,2017-03-30,55
Taxi Booking,159849390436,2017-03-31,163
Cab Aggregation,159849390436,2017-03-31,163
Internet First Resturants,3481361113,2017-03-31,69
Food Tech,10932915894,2017-03-31,186
Exam Prep,8445724628,2017-03-31,233
Financial Inclusion,14350051,2017-04-08,9
Online Fashion,808970911,2017-04-12,58
Live Streaming,15396956,2017-04-20,18
Healthcare Services,3373470904,2017-04-24,81
Food Ordering,2406061300,2017-04-25,23
Snackbox,67398304,2017-05-15,20
receivables management,13396833,,15
dental,35523375,,20
Content Creation,145098171,,101
payments and billings,13396833,,15
Home Salon,68819229,,18
Ad tech,29796894,,15
Event Planning,7604960,,13
Online Pharmacy,1500684994,,94
Marketing Tech,65669317,,28
Marketing Automation,65669317,,28
Used Car Marketplace,19777342610,,56
Online Classified,19777342610,,56
Doctor Discovery,114495984,,11
Food Ordering & Delivery,4913598753,,27
SMB financing,350339377,,62
Payments,1235665250,,8
F&B chain,64496423,,47
Diagnostic lab aggregator,278194752,,48
money transfer,536619486,,16
F&B chain,59249915,,32